discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,country_name,country_code,country_3_letter_code,value_unit
Swimming,Paris-2024,Men's 4 x 200m Freestyle Relay,Men,GOLD,GameTeam,Great Britain,Great Britain,GB,GBR,419430
Swimming,Paris-2024,Men's 4 x 200m Freestyle Relay,Men,SILVER,GameTeam,United States of America,United States of America,US,USA,420780
Swimming,Paris-2024,Men's 4 x 200m Freestyle Relay,Men,BRONZE,GameTeam,Australia,Australia,AU,AUS,421980
Swimming,Paris-2024,Men's 4 x 100m Freestyle Relay,Men,GOLD,GameTeam,United States of America,United States of America,US,USA,189280
Swimming,Paris-2024,Men's 4 x 100m Freestyle Relay,Men,SILVER,GameTeam,Australia,Australia,AU,AUS,190350
Swimming,Paris-2024,Men's 4 x 100m Freestyle Relay,Men,BRONZE,GameTeam,Italy,Italy,IT,ITA,190700
Swimming,Paris-2024,Women's 4 x 100m Freestyle Relay,Women,GOLD,GameTeam,Australia,Australia,AU,AUS,208920
Swimming,Paris-2024,Women's 4 x 100m Freestyle Relay,Women,SILVER,GameTeam,United States of America,United States of America,US,USA,210200
Swimming,Paris-2024,Women's 4 x 100m Freestyle Relay,Women,BRONZE,GameTeam,China,People's Republic of China,CN,CHN,210300
Swimming,Paris-2024,Women's 4 x 200m Freestyle Relay,Women,GOLD,GameTeam,Australia,Australia,AU,AUS,458080
Swimming,Paris-2024,Women's 4 x 200m Freestyle Relay,Women,SILVER,GameTeam,United States of America,United States of America,US,USA,460860
Swimming,Paris-2024,Women's 4 x 200m Freestyle Relay,Women,BRONZE,GameTeam,China,People's Republic of China,CN,CHN,462340
Athletics,Paris-2024,Women's 4 x 100m Relay,Women,GOLD,GameTeam,United States of America,United States of America,US,USA,41780
Athletics,Paris-2024,Women's 4 x 100m Relay,Women,SILVER,GameTeam,Great Britain,Great Britain,GB,GBR,41850
Athletics,Paris-2024,Women's 4 x 100m Relay,Women,BRONZE,GameTeam,Germany,Germany,DE,GER,41970
Athletics,Paris-2024,Women's 4 x 400m Relay,Women,GOLD,GameTeam,United States of America,United States of America,US,USA,195270
Athletics,Paris-2024,Women's 4 x 400m Relay,Women,SILVER,GameTeam,Netherlands,Netherlands,NL,NED,199500
Athletics,Paris-2024,Women's 4 x 400m Relay,Women,BRONZE,GameTeam,Great Britain,Great Britain,GB,GBR,199720
Athletics,Paris-2024,Men's 4 x 100m Relay,Men,GOLD,GameTeam,Canada,Canada,CA,CAN,37500
Athletics,Paris-2024,Men's 4 x 100m Relay,Men,SILVER,GameTeam,South Africa team,South Africa,ZA,RSA,37570
Athletics,Paris-2024,Men's 4 x 100m Relay,Men,BRONZE,GameTeam,Great Britain,Great Britain,GB,GBR,37610
Athletics,Paris-2024,Men's 4 x 400m Relay,Men,GOLD,GameTeam,United States of America,United States of America,US,USA,174430
Athletics,Paris-2024,Men's 4 x 400m Relay,Men,SILVER,GameTeam,Botswana,Botswana,BW,BOT,174530
Athletics,Paris-2024,Men's 4 x 400m Relay,Men,BRONZE,GameTeam,Great Britain,Great Britain,GB,GBR,175830
